Image#,Source PDF,Year,Type of Chart,Secondary Type Of Chart,Description,PDF Link
32,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Observed changes in the 20-year return value of the seasonal daily precipitation totals for the contiguous United States over the period 1948 to 2015 using data from the Global Historical Climatology Network (GHCN) dataset.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
33,Climate Science Special Report Volume 1,2017,Bar Graph,None,"Index of the number of 2-day precipitation events exceeding the station-specific threshold for a 5-year recurrence interval in the contiguous United States, expressed as a percentage difference from the 1901�1960 mean.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
34,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"These maps show the change in several metrics of extreme precipitation by NCA4 region,",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
35,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected change (%) in total seasonal precipitation from CMIP5 simulations for 2070�2099,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
36,Climate Science Special Report Volume 1,2017,Bar Graph,Box and Whisker,Regional extreme precipitation event frequency for a lower scenario (RCP4.5) (green; 16 CMIP5 models) and the higher scenario (RCP8.5) (blue; 14 CMIP5 models) for a 2-day duration and 5-year return.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
37,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected change in the 20-year return period amount for daily precipitation for mid- (left maps) and late-21st century (right maps),https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
38,Climate Science Special Report Volume 1,2017,Bar Graph,None,Projected change (percentage change relative to the 1976�2005 reference period average) in the number of daily zero (�No-Precip�) and non-zero precipitation days (by percentile bins) for late-21st century under a higher scenario (RCP8.5),https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
39,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,Projected end of the 21st century weighted CMIP5 multimodel average percent changes in near surface seasonal soil moisture (mrsos) under the higher scenario (RCP8.5).,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
40,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"Projected changes in winter (DJF) snow water equivalent at the middle and end of this century under the higher scenario (RCP8.5) from a high-resolution version of the Community Atmospheric Model, CAM5.6",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
41,Climate Science Special Report Volume 1,2017,Dot Distribution Map,Bar Graph,Trends in the annual number of large fires in the western United States for a variety of ecoregions.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
42,Climate Science Special Report Volume 1,2017,Connected Scatter Plot,None,"Poleward migration, in degrees of latitude, of the location of annual mean tropical cyclone (TC) peak lifetime intensity in the western",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
43,Climate Science Special Report Volume 1,2017,Scatter Plot,None,Annual Tornados in the US 1955-2013,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
44,Climate Science Special Report Volume 1,2017,Dot Distribution Map,Heat Map,"Atmospheric rivers depicted in Special Sensor Microwave Imager (SSM/I) measurements of SSM/I total column water vapor leading to extreme precipitation events at landfall locations. (middle left) Annual mean frequency of atmospheric river occurrence (for example, 12% means about 1 every 8 days) and their integrated vapor transport (IVT).",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
45,Climate Science Special Report Volume 1,2017,Model,None,This graphical representation summarizes land�atmosphere interactions from natural and anthropogenic land-use and land-cover change (LULCC) contributions to radiative forcing,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
46,Climate Science Special Report Volume 1,2017,Bar Graph,None,"Anthropogenic radiative forcing (RF) contributions, separated by land-use and land-cover change (LULCC) and non-LULCC sources (green and maroon bars, respectively), are decomposed by atmospheric constituent to year 2010 in this diagram, using the year 1850 as the reference.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
47,Climate Science Special Report Volume 1,2017,Heat Map,Chloropleth,"Observed changes in the length of the frost-free season by region, where the frost-free season is defined as the number of days between the last spring occurrence and the first fall occurrence of a minimum temperature at or below 32�F.  Projected changes in the length of the frost-free season at mid-century (2036�2065 as compared to 1976�2005) under the higher scenario (RCP8.5). ",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
48,Climate Science Special Report Volume 1,2017,Line Chart,Time Series,"The length of the growing season in the contiguous 48 states compared with a long-term average (1895� 2015), where �growing season� is defined by a daily minimum temperature threshold of 41�F.",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
49,Climate Science Special Report Volume 1,2017,Heat Map,None,"A 35-year trend in arctic sea ice melt season length, in days per decade, from passive microwave satellite observations",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
50,Climate Science Special Report Volume 1,2017,Line Chart,Scatter Plot,"Time series of the cumulative climatic mass balance (units: kg/m2 ) in five arctic regions and for the Pan-Arctic from the World Glacier Monitoring Service (WGMS;210 Wolken et al.;211 solid lines, left y-axis), plus Alaskan glacial mass loss observed from NASA GRACE1",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
51,Climate Science Special Report Volume 1,2017,Line Chart,None,Time series of annual mean permafrost temperatures (units: �F) at various depths from 39 to 65 feet (12 to 20 meters) from 1977 through 2015 at several sites across Alaska,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
52,Climate Science Special Report Volume 1,2017,Heat Map,None,"Static-equilibrium fingerprints of the relative sea level (RSL) effect of land ice melt, in units of feet of RSL change per feet of global mean sea level (GMSL) change, for mass loss",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
53,Climate Science Special Report Volume 1,2017,Bar Graph,Line Chart,"The relationship between peak global mean temperature, atmospheric CO2, maximum global mean sea level (GMSL), and source(s) of meltwater for two periods in the past with global mean temperature comparable to or warmer than present",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
54,Climate Science Special Report Volume 1,2017,Line Chart,Bar Graph,"Contributions of ocean mass changes from land ice and land water storage (measured by satellite gravimetry) and ocean volume changes (or steric, primarily from thermal expansion measured by in situ ocean profilers) and their comparison to global mean sea level (GMSL) change (measured by satellite altimetry) since 1993. (b) An estimate of modeled GMSL rise in the absence of 20th century warming (blue), from the same model with observed warming (red), and compared to observed GMSL change (black). Heavy/light shading indicates the 17th�83rd and 5th�95th percentiles. (c) Rates of change from 1993 to 2015 in sea surface height from satellite altimetry data; updated from Kopp et al.3 using data updated from Church and White.3",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
55,Climate Science Special Report Volume 1,2017,Line Chart,Heat Map,"(a) Global mean sea level (GMSL) rise from 1800 to 2100,Relative sea level (RSL) rise (feet) in 2100 projected for the Interagency Intermediate Scenario",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
56,Climate Science Special Report Volume 1,2017,Bar Graph,Heat Map,"(a) Tidal floods (days per year) exceeding NOAA thresholds for minor impacts at 28 NOAA tide gauges through 2015. (b) Historical exceedances (orange), future projections through 2100 based upon the continuation of the historical trend (blue), and future projections under median RCP2.6, 4.5 and 8.5 conditions, for two of the locations� Charleston, SC and San Francisco, CA. (c) Water level heights above average highest tide associated with a local 5-year recurrence probability, and (d) the future decade when the 5-year event becomes a 0.2-year (5 or more times per year) event under the Interagency Intermediate scenario",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
57,Climate Science Special Report Volume 1,2017,Line Chart,None,"Global Ocean heat content change time series. Ocean heat content from 0 to 700 m (blue), 700 to 2,000 m (red), and 0 to 2,000 m (dark gray) from 1955 to 2015",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
58,Climate Science Special Report Volume 1,2017,Area Chart,None,"Ocean heat content changes from 1960 to 2015 for different ocean basins for 0 to 2,000 m depths. Time series is relative to the 1997�1999 base period and smoothed by a 12-month running filter by Cheng",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
59,Climate Science Special Report Volume 1,2017,Isopleth Map,Heat Map, Projected changes in sea surface temperature (�C) for the coastal United States under the higher scenario (RCP8.5).,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
60,Climate Science Special Report Volume 1,2017,Scatter Plot,None,Trends in surface (< 50 m) ocean carbonate chemistry calculated from observations obtained at the Hawai�i Ocean Time-series (HOT) Program in the North Pacific over 1988�2015,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
61,Climate Science Special Report Volume 1,2017,Heat Map,Choropleth Map,"Predicted change in sea surface pH in 2090�2099 relative to 1990�1999 under the higher scenario (RCP8.5), based on the Community Earth System Models�Large Ensemble Experiments CMIP5",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
62,Climate Science Special Report Volume 1,2017,Heat Map,Choropleth Map,"Predicted change in dissolved oxygen on the ?? = 26.5 (average depth of approximately 290 m) potential density surface, between the 1981�2000 and 2081�2100",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
63,Climate Science Special Report Volume 1,2017,Connected Scatter Plot,None,"Global mean temperature change for a number of scenarios as a function of cumulative CO2 emissions from preindustrial conditions, with time progressing along each individual line for each scenario",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
64,Climate Science Special Report Volume 1,2017,Bar Graph,Line Chart,Global CO2 emissions and probabilistic temperature outcomes of government announcements associated with the lead up to the Paris climate conference.,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
65,Climate Science Special Report Volume 1,2017,Line Chart ,None,"Global emissions pathways for GHGs, expressed as CO2-equivalent emissions, which would be consistent with different temperature goals (relative to preindustrial temperatures).",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
66,Climate Science Special Report Volume 1,2017,???,None,(left) Potential climatic tipping elements affecting the Americas (Figure source: adapted from Lenton et al. 200810). (right) Wildfire and drought events from the NOAA Billion Dollar Weather Events list,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
67,Climate Science Special Report Volume 1,2017,Line Chart,None,Annual global (80�S�80�N) mean time series of tropospheric temperature for five recent datasets,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
68,Climate Science Special Report Volume 1,2017,Heat Map,Choropleth Map,A graphical representation of the intermodel distance matrix for CMIP5 and a set of observed values. Each row and column represents a single climate model (or observation).,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
69,Climate Science Special Report Volume 1,2017,???,None,Model skill and independence weights for the CMIP5 archive evaluated over the North American domain,https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
70,Climate Science Special Report Volume 1,2017,Heat Map,Choropleth Map,"Projections of precipitation change over North America in 2080�2100, relative to 1980�2000 under the higher scenario",https://science2017.globalchange.gov/downloads/CSSR2017_FullReport.pdf
71,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Heat Map,Dot Distribution Map,"Different shades of pink to purple indicated by the inset histogram show estimated warming for the season that has warmed the most at a given location between the periods 1850�1900 and 2006�2015, during which global average temperatures rose by 0.91�C in this dataset (Cowtan and Way, 2014) and 0.87�C in the multi-dataset average (Table 1.1 and Figure 1.3)",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
72,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Line Chart,None,Evolution of global mean surface temperature (GMST) over the period of instrumental observations,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
73,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Heat Map,Chloropleth,Spatial and seasonal pattern of present-day warming,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
74,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Line Chart,None,"Different 1.5�C pathways1 : Schematic illustration of the relationship between (a) global mean surface temperature (GMST) change; (b) annual rates of CO2 emissions, assuming constant fractional contribution of non-CO2 forcing to total human-induced warming; (c) total cumulative CO2 emissions (solid lines) and the fraction thereof remaining in the atmosphere (dashed lines; these also indicates changes in atmospheric CO2 concentrations); and (d) a time-integrated impact, such as sea level rise, that continues to increase even after GMST has stabilized. Colours indicate different 1.5�C pathways.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
75,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Line Chart,None,Warming commitment from past emissions of greenhouse gases and aerosols: Radiative forcing (top) and global mean surface temperature change (bottom) for scenarios with different combinations of greenhouse gas and aerosol precursor emissions reduced to zero in 2020. ,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
76,Special Report: Global Warming of 1.5c Chapter 1 Framing and Context,2018,Line Chart,None,Implications of different approaches to calculating aggregate greenhouse gas emissions on a pathway to net zero.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter1_Low_Res.pdf
77,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Line Chart,Bar Graph,Changes and uncertainties in effective radiative forcings (ERF) for one 1.5�C-consistent pathway (SSP2-19) as estimated by MAGICC and FAIR.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
78,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Connected Scatter Plot,Line Chart,Temperature changes from 1850�1900 versus cumulative CO2 emissions since 1st January 1876.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
79,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Line Chart,None,Range of assumptions about socio-economic drivers and projections for energy and food demand in the pathways available to this assessment.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
80,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Line Chart,Area Chart,Evolution and break down of global anthropogenic CO2 emissions until 2100.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
81,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box And Whiskers,None,"Annual global emissions characteristics for 2020, 2030, 2050, 2100.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
82,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box and Whiskers,None,"Estimated aggregated effective radiative forcing of SLCFs for 1.5�C and 2�C pathway classes in 2010, 2020, 2030, 2050, and 2100, as estimated by the FAIR model (Smith et al., 2018)",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
83,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Scatter Plot,None,"Median global warming estimated by MAGICC (panel a) and peak cumulative CO2 emissions (panel b) in 1.5�C-consistent pathways in the SR1.5 scenario database, as a function of CO2 -equivalent emissions (based on AR4 GWP-100) of Kyoto-GHGs in 2030.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
84,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Bar Graph,Box and Whisker,"Primary energy supply for the four illustrative pathway archetypes plus the IEA�s Faster Transition Scenario (IEA, 2017d) (panel a), and their relative location in the ranges for pathways limiting warming to 1.5�C with no or limited overshoot (panel b).",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
85,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Bar Graph,Box and Whisker,"Electricity generation for the four illustrative pathway archetypes plus the IEA�s Faster Transition Scenario (IEA, 2017d) (panel a), and their relative location in the ranges for pathways limiting warming to 1.5�C with no or limited overshoot (panel b).",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
86,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Connected Scatter Plot,None,Comparison of CO2 emission trajectories of sectoral pathways,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
87,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Bar Graph,Line Chart,"Comparison of (a) direct CO2 emissions and (b) carbon intensity of the power and energy end-use sectors (industry, buildings, and transport sectors) between IAMs and sectoral studies (IEA-ETP and IEA/IRENA)",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
88,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,???,None,"Comparison of (a) final energy, (b) direct CO2 emissions, (c) carbon intensity, (d) electricity and biomass consumption in the industry sector between IAM and sectoral studies.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
89,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,???,None,"Comparison of (a) final energy, (b) direct CO2 emissions, (c) carbon intensity, (d) electricity and biomass consumption in the buildings sector between IAM and sectoral studies.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
90,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,???,None,"Comparison of (a) final energy, (b) direct CO2 emissions, (c) carbon intensity, (d) electricity and biofuel consumption in the transport sector between IAM and sectoral studies.",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
91,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box and Whiskers,None,"Overview of land-use change transitions in 2030 and 2050, relative to 2010 based on pathways based on the Shared Socio-Economic Pathways (SSPs) (Popp et al., 2017; Riahi et al., 2017; Rogelj et al., 2018)",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
92,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box and Whiskers,None,Agricultural emissions in transformation pathways.,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
93,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,???,None,Global price of carbon emissions consistent with mitigation pathways. ,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
94,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Bar Graph,Bar Graph,Accounting of cumulative CO2 emissions for the four 1.5�C-consistent pathway archetypes,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
95,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box and Whiskers,Scatter Plot,"Pathways classification overview. (a) Average global mean temperature increase relative to 2010 as projected by FAIR and MAGICC in 2030, 2050 and 2100; (b) response of peak warming to cumulative CO2 emissions until net zero by MAGICC (red) and FAIR (blue); (c) decadal rate of average global mean temperature change from 2081 to 2100 as a function of the annual CO2 emissions averaged over the same period as given by FAIR (transparent squares) and MAGICC (filled circles).",https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
96,Special Report: Global Warming of 1.5c Chapter 2 Mitigation Pathways Compatible with 1.5�C in the Context of Sustainable Development,2018,Box and Whiskers,None,Global characteristics of a selection of short-lived non-CO2 emissions until mid-century for five pathway classes used in this chapter,https://www.ipcc.ch/site/assets/uploads/sites/2/2019/02/SR15_Chapter2_Low_Res.pdf
